蜀风庭院,162.0,0,80,3677,5,2009,4,郫县城区
花圃名居,264.0,20,24,7699,9,2004,6,马鞍路
卡斯摩广场,2194.0,638,842,10222,33,2012,32,中和
外曹家巷28号,732.0,22,18,9671,7,1998,8,马鞍路
阳光金沙,780.0,66,254,11206,6,2006,6,蜀汉路
西沙美景小区,671.0,152,180,9775,18,2008,12,沙湾
银沙路98号,113.6,4,16,8903,7,1998,2,营门口
凯丽豪景,362.0,100,64,14654,30,2008,4,一品天下
凯德卓锦万黛,404.0,52,312,7861,39,,6,大面
红牌楼北街16号院,72.0,5,19,9864,7,2000,1,高升桥
亚太广场,125.0,26,4,8949,21,1999,1,棕北
阳光365,185.0,0,15,9874,,2005,6,盐市口
天府长城丽日清风,984.0,84,48,11921,6,2004,6,天府长城
东苑A区,1433.0,158,70,15066,,2000,9,东苑
北延风景,190.0,0,0,8190,16,,2,大丰
东苑B区,1183.0,81,59,16255,,2009,6,东苑
楠香山,1062.0,134,130,11745,27,2012,10,中和
卫雅苑,406.0,66,126,8488,6,2000,4,双楠
南河湾,230.0,0,0,5529,2,,2,新都城区
汇融广场,100.0,0,0,7124,33,,2,大丰
宏亚大厦,139.4,12,2,8752,7,,2,一品天下
枣子巷13号,202.0,0,4,11077,7,1992,2,通惠门
